caption,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,ownerFullName,url,inputUrl,ownerUsername
"Bring the heat to BBQ season 

It’s the Grill trio you never knew you needed to spice up the summer season, and here are the 3 reasons your BBQ just levelled up… 

  Smashed Burgers – perfectly seasoned with cracked black pepper and sea salt. Get these thin, juicy patties onto a sizzling hot griddle to get
that irresistible, caramelised crust and stack up those buns! 

 Our Best Ever Posh Dogs – an elevated, classic recipe made with cherrywood smoked pork shoulder and an American-style smoky seasoning
blend. Enjoy with lashings of ketchup and mustard for the ultimate comfort bite in every mouthful  

 Nduja King Prawn Skewers – specially selected for succulence and smothered in a hot and smoky Italian nduja paste with chilli, garlic and paprika.

Summer has never tasted so good ☀️

Find our Grill range in your local M&S Foodhall 

#thisisnotjust",24,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M&S Ireland,https://www.instagram.com/p/DJcDq-1NR_W/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerireland
New Finds!  At M&S @marksandspencerfood #mandsfood #thisisnotjust #cake #truffles #chocolate #wellthisisnew,166,mandsfood,thisisnotjust,cake,truffles,chocolate,wellthisisnew,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencerfood,,,,,,2,Well This Is New,https://www.instagram.com/p/DJbFOhKInh_/,https://www.instagram.com/explore/tags/ThisIsNotJust,_well_this_is_new_
"⭐ New in the M&S Foodhall - let’s get the BALL rolling on brain health 

Our brilliant new mixed berry and almond butter Brain Food Brain Ball is here!

High in iron, zinc and vitamin B12, this tasty on-the-go snack provides at least 30% of the RNI of these essential brain-health nutrients in one go. 

Find it in your local M&S Foodhall or via the link in bio NOW! 

*Best enjoyed as part of a healthy lifestyle & a balanced, varied diet. High in iron and zinc, which contribute to normal cognitive function.*

#MandSCy #Symeonides #thisisnotjust",6,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJa_07fiByO/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencer_symeonides
"Made with love, our Irish bread is baked fresh in our in-store bakeries every day ☘ #ThisIsNotJust",41,ThisIsNotJust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M&S Ireland,https://www.instagram.com/p/DJZ26I0JpVg/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerireland
"Sunny summer days  M&S Pizza Dine-In  Choose one pizza and one side for just €8.50

#thisisnotjust",,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M&S Galway,https://www.instagram.com/p/DJZbuMGMHLF/,https://www.instagram.com/explore/tags/ThisIsNotJust,mands.galway
"⭐ New in the M&S Foodhall – and we’re BERRY excited! 

Introducing the Brain Food Mixed Berry Bar, packed with dates, smooth almond butter and freeze-dried strawberries, raspberries & blueberries! 

High in iron and a source of zinc to support brain health, it’s a no-brainer for smart, nutritious snacking on-the-go. ⚡

Find it in your local M&S Foodhall or via the link in bio NOW! 

*Best enjoyed as part of a healthy lifestyle and a balanced, varied diet. High in iron and zinc, which contribute to normal cognitive function.*

#MandSCy #Symeonides #thisisnotjust",2,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJTel1UAq6h/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencer_symeonides
"This has to be one of my favourite dresses, it hides a multitude of sins, perfect for dressing up or down, concealed buttons, and now with pockets (sadly @marksandspencerstyle didn’t include them but the tailor soon rectified that!). 

A last minute dash to the supermarket and a minute to catch the last of the sun propping up an old door - if you live in Stourbridge you’ll know where I am! Roll on Friday.

Penny loves - @waitrose ‘too good to waste’ line - amazing sushi for 99p, plus two salads for £1!

Dress - @marksandspencerstyle 
Denim - @frenchconnection 
Trainers @adidas 

#wednesdaystyle #blackdress #mymarksfave #mymarks #denimjacket #pennysyear #midlifestyle #stourbridge",6,wednesdaystyle,blackdress,mymarksfave,mymarks,denimjacket,pennysyear,midlifestyle,stourbridge,,,,,,,,,,,,,,,,,,,,,,,242878335,marksandspencerstyle,waitrose,frenchconnection,adidas,,,1,Penny,https://www.instagram.com/p/DJ8qIn5M382/,https://www.instagram.com/explore/tags/MyMarks,pennyreallylikesthis
"I’m all for the texture this Summer ☀️ 
Especially this easy to wear textured Cuban collar shirt

Cuban collar texture shirt navy mix T25 1280M | £35.00
Denim shorts, straight fit Ecru T17 7850M | £22.00

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you

#mymarks #marksandspencer #mensweardaily #menswear #summer25 #summerlikeyoumeanit",3,mymarks,marksandspencer,mensweardaily,menswear,summer25,summerlikeyoumeanit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,M&S INSIDER - ROB MANNING,https://www.instagram.com/p/DJ8jQpooU7f/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_rob
"Always winning when I’m wearing linen  Hope you all have a great weekend! 
•
#mensfashion #fashionstyle #ootdmen #albertclothing #mymarks #tailoring",,mensfashion,fashionstyle,ootdmen,albertclothing,mymarks,tailoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ben Noren,https://www.instagram.com/p/DJ8jF9aNHBP/,https://www.instagram.com/explore/tags/MyMarks,coycreativity
"Happy Thursday! Drinks tonight. Life is good.

Jacket & loafers - @marksandspencer 
Jeans - @bershka 
Bag - @thekooples 

#ootdfashion #ootd #lookoftheday #anotheroutfitpost #asseenonme #wiwt #mymarks #discoverunder1k #discoverunder5k #outfitoftheday #outfitinspiration #springoutfits #highstreetstyle #highstreetfashion",3,ootdfashion,ootd,lookoftheday,anotheroutfitpost,asseenonme,wiwt,mymarks,discoverunder1k,discoverunder5k,outfitoftheday,outfitinspiration,springoutfits,highstreetstyle,highstreetfashion,,,,,,,,,,,,,,,,,12222710,marksandspencer,bershka,thekooples,,,,0,Liz J,https://www.instagram.com/p/DJ8fP_Ts9vk/,https://www.instagram.com/explore/tags/MyMarks,lizjootd
Let’s all try to manifest for a sunny half term please,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,P r u n e l l a - P o p p y,https://www.instagram.com/p/DJ8ZvfrqTXy/,https://www.instagram.com/explore/tags/MyMarks,prunella_poppy
"@marksandspencer 
2pk pure cotton elephant rompers
•
•
@marksandspencerstyle @marksandspencerireland 
#babyfashion #babyboyfashion #babystyle #babyboystyle #mymarks #babyboyoutfit #marksandspencer#marksandspencerkids #marksandspencerbaby #romper #babyromper #summeroutfits #summerbabyfashion",,babyfashion,babyboyfashion,babystyle,babyboystyle,mymarks,babyboyoutfit,marksandspencer,marksandspencerkids,marksandspencerbaby,romper,babyromper,summeroutfits,summerbabyfashion,,,,,,,,,,,,,,,,,,,marksandspencer,marksandspencerstyle,marksandspencerireland,,,,0,Josiah’s Wardrobe,https://www.instagram.com/p/DJ7neCus31o/,https://www.instagram.com/explore/tags/MyMarks,josiahswardrobe
"I’m back to hospital for another op next week, nothing to worry about, just Part 2 of the last op and all the ongoing stuff that goes with it!  So, I just wanted to let you know I will be closing my shop for a short while on Friday, so if anything has caught your eye, I will have plenty of time to send it before pressing pause again!

#cancerjourney #breastcancer #breastcancerawareness #checkyourself #landscapepaintings #abstractlandscapes #artandartist #mystyle #mymarks #art #marksinart #modernabstractart #wiltshireartistsofinstagram #artistinstudio #meettheartist #inthestudio #artstudio #artistsstudio #studioviews_daily #wiltshireartist #presspause",145,cancerjourney,breastcancer,breastcancerawareness,checkyourself,landscapepaintings,abstractlandscapes,artandartist,mystyle,mymarks,art,marksinart,modernabstractart,wiltshireartistsofinstagram,artistinstudio,meettheartist,inthestudio,artstudio,artistsstudio,studioviews_daily,wiltshireartist,presspause,,,,,,,,,,,,,,,,,111,Abstract Artist - Wiltshire,https://www.instagram.com/p/DJ65cr-oujh/,https://www.instagram.com/explore/tags/MyMarks,andreakirbyart
"Always winning when I’m wearing linen  Hope you all have a great weekend! 
•
#mensfashion #fashionstyle #ootdmen #albertclothing #mymarks #tailoring",,mensfashion,fashionstyle,ootdmen,albertclothing,mymarks,tailoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ben Culton,https://www.instagram.com/p/DJ61vptN49Y/,https://www.instagram.com/explore/tags/MyMarks,artfulgelbert
"My Boy Rafe  

#mymarks",20,mymarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,https://www.instagram.com/p/DJ6vhbDIYpq/,https://www.instagram.com/explore/tags/MyMarks,gunn_sisters
"I shared the reel last week but had to post a few stills too. This table setup is so full of colour and pattern, I just love how joyful it feels. The new picnicware makes everything feel a bit like a celebration, even on a weekday lunch.

#mymarks #OutdoorDining #Picnicware #ColourfulTable #TableStyling #SummerVibes #MarksAndSpencerStyle",31,mymarks,OutdoorDining,Picnicware,ColourfulTable,TableStyling,SummerVibes,MarksAndSpencerStyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M&S Insider - James Rotheram,https://www.instagram.com/p/DJ6kTYuqVWk/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_james
"Just when you thought matching sets for mini mes couldn’t get any cuter ​

@marksandspencer_chelsey. 
#MyMarks​

Though we’ve paused taking orders via our website and app for now, you can still shop in store – our brilliant colleagues look forward to seeing you.​",127,MyMarks​,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencer_chelsey.,,,,,,2,Marks & Spencer Style,https://www.instagram.com/p/DJ6D7OvM9Qp/,https://www.instagram.com/explore/tags/MyMarks,marksandspencerstyle
"First Light ☀️ 
•
#mensfashion #fashionstyle #fashionformen #ootdmen #mymarks",1,mensfashion,fashionstyle,fashionformen,ootdmen,mymarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ben Noren,https://www.instagram.com/p/DJ5-DpvNZyv/,https://www.instagram.com/explore/tags/MyMarks,coycreativity
"A double denim look, or does this count as a triple denim look, either way I went with it ✌",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,P r u n e l l a - P o p p y,https://www.instagram.com/p/DJ508V4qQTp/,https://www.instagram.com/explore/tags/MyMarks,prunella_poppy
"the kitchen, 1 year ago today vs this evening

our calming, cosy hosting space at sunset is one of my favourite rooms in the house! wowww was this a big project - everyday throughout i kept thinking we were never gonna get it finished after we decided to rip up the floors and rip out the entire kitchen! we also expected to just clean up the kitchen and keep it for a few years, definitely didn’t expect months of pot noodles and now it’s all done

all details tagged! 

️ #beforeandafter #home #kitchen #kitchenremodel #renovation #interior #interiordesign #cottagecoreaesthetic #cottagestyle #housetohomeshare #mywhitecompany #bandq_uk #bandqit #desenio #mymarks",3,beforeandafter,home,kitchen,kitchenremodel,renovation,interior,interiordesign,cottagecoreaesthetic,cottagestyle,housetohomeshare,mywhitecompany,bandq_uk,bandqit,desenio,mymarks,,,,,,,,,,,,,,,,,,,,,,,14,,https://www.instagram.com/p/DJ4ig7ki_eD/,https://www.instagram.com/explore/tags/MyMarks,oakbornecottage
"Zoom in on this close-up 
Twill tailoring meets paisley charm — classic tailoring with a contemporary feel 

@marksandspencer 
@marksandspencerstyle 

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you 

Tailored Twill Square Waistcoat-T592000W
Twill Wide Leg Trousers-T592289T
Flatform Sandals -T023186
Mesh Tote Bag-T012120Z
Paisley Cotton Scarf-T669655N

#mymarks 
#marksandspencer 
#marksandspencerstyle 
#midsize 
#ootd
#tailoredlook 
#whattoweartoday 
#curvystyles 
#closeupshot
#fyp
#fypage",59,mymarks,marksandspencer,marksandspencerstyle,midsize,ootd,tailoredlook,whattoweartoday,curvystyles,closeupshot,fyp,fypage,,,,,,,,,,,,,,,,,,,,,marksandspencer,marksandspencerstyle,,,,,7,Anneka Gouldbourne,https://www.instagram.com/p/DJ4dj5PI-Jp/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_anneka
"This outfit went immediately into my basket ️ Gigi is absolutely obsessed with animals so it was a must   swipe for the cheekiest smile ➡️

Sweatshirt and flares outfit | T782494D
Canvas trainers | T722164T

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you

#mymarks @marksandspencerstyle @marksandspencer",61,mymarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencerstyle,marksandspencer,,,,,6,M&S INSIDER - JODIE,https://www.instagram.com/p/DJ4WEEqooDj/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_jodie
"First Light ☀️ 
•
#mensfashion #fashionstyle #fashionformen #ootdmen #mymarks",,mensfashion,fashionstyle,fashionformen,ootdmen,mymarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ben Culton,https://www.instagram.com/p/DJ4QjZUtjjV/,https://www.instagram.com/explore/tags/MyMarks,artfulgelbert
"Hi guys! I’m Daisy and I’m super excited to be your newest M&S Insider!!✨⛅️

A bit about me: I’m a Womenswear Stylist at the Battersea Power Station store. I love to travel, so expect to see a mix of everyday style and holiday looks over the next few months! When it comes to fashion, I naturally lean towards a clean, capsule wardrobe but I also love switching things up and experimenting with seasonal trends.

I’ll be sharing how I style my favourite M&S pieces, from everyday looks to travel outfits, i’m so excited to show you all the ways to style key M&S pieces for different occasions. If there’s anything you’d love to see, feel free to get in touch, I can’t wait to share more with you!

Outfit details:
Skirt: T574239
Top: T417743
Shoes: T023170
Sunglasses: T010120S
Bag: T011275Z
Cardigan: T388528
Earrings: T661695E

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you!

#MyMarks
@marksandspencer 
@marksandspencerstyle",978,MyMarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213385402,marksandspencer,marksandspencerstyle,,,,,89,M&S Insider Daisy,https://www.instagram.com/p/DJ3viYpsXR_/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_dais
"Love the colour on these green cargos and they’re a cotton and linen mix great for this changeable weather! ️

Does anyone else’s toddler have to take an item from the house every time you leave!? Yesterday it was a 4ft stuffed snake so thankfully it was just a book today 

Swipe for a cute hello from Lionel 

Though we’ve paused taking orders via our website and app for now, you can still shop in store - our brilliant colleagues look forward to seeing you

Denim Jacket: T771022T
Trousers: T784093E
Sandals: T723310F

#MarksAndSpencer #MyMarks #BoysFashion #KidsFashion #BoysOutfit #KidsStyle #KidsOutfit #ToddlerBoyFashion 
#ToddlerStyle #MiniOOTD 

@marksandspencer @marksandspencerstyle",51,MarksAndSpencer,MyMarks,BoysFashion,KidsFashion,BoysOutfit,KidsStyle,KidsOutfit,ToddlerBoyFashion,ToddlerStyle,MiniOOTD,,,,,,,,,,,,,,,,,,,,,,marksandspencer,marksandspencerstyle,,,,,4,M&S INSIDER CHELSEY,https://www.instagram.com/p/DJ3hPEMtL3c/,https://www.instagram.com/explore/tags/MyMarks,marksandspencer_chelsey
"Cardi - @marksandspencer 
Sandals - @dune_london 
Jeans - @zara 

#ootdfashion #ootd #lookoftheday #anotheroutfitpost #asseenonme #mymarks #discoverunder1k #discoverunder5k #highstreetstyle #highstreetfashion #wiwt #springoutfits #outfitinspiration #outfitoftheday #dunelondon",3,ootdfashion,ootd,lookoftheday,anotheroutfitpost,asseenonme,mymarks,discoverunder1k,discoverunder5k,highstreetstyle,highstreetfashion,wiwt,springoutfits,outfitinspiration,outfitoftheday,dunelondon,,,,,,,,,,,,,,,,12222710,marksandspencer,dune_london,zara,,,,2,Liz J,https://www.instagram.com/p/DJ3U38-MG29/,https://www.instagram.com/explore/tags/MyMarks,lizjootd
"Princess  
.
.
.
Aris whole outfit is @marksandspencerstyle",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencerstyle,,,,,,52,Courtney Frances Atkinson,https://www.instagram.com/p/DJ3OVQZs2Q_/,https://www.instagram.com/explore/tags/MyMarks,courtaky
"My Marks
oil pastel on Arches watercolor paper
interested, ask me
10” x 7”

#oilpastel #mymarks #contemporaryart #scotrittenbaumart",11,oilpastel,mymarks,contemporaryart,scotrittenbaumart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Scot Rittenbaum,https://www.instagram.com/p/DJ2eChguf1p/,https://www.instagram.com/explore/tags/MyMarks,scotrittenbaumart
"19.5.25
This is 41. A weekend of celebrating with family and friends in Cardiff, followed by a Monday birthday. Monday must be the worst day to have a birthday! But everyone has made sure it’s felt special   
New birthday sandals @drmartensofficial 
Jeans @marksandspencer 
Top @uniqloeurope 
Bag @freepeopleeu 
#whatiworetoday #wiwt #drmartensstyle #mydrmartensstyle #mymarks #mymarksstyle #outfitoftheday #ootd",36,whatiworetoday,wiwt,drmartensstyle,mydrmartensstyle,mymarks,mymarksstyle,outfitoftheday,ootd,,,,,,,,,,,,,,,,,,,,,,,,drmartensofficial,marksandspencer,uniqloeurope,freepeopleeu,,,7,What Emily wore today,https://www.instagram.com/p/DJ2X5weoC9x/,https://www.instagram.com/explore/tags/MyMarks,whatemilyworetoday
"Happy Monday 

@officialnavyprofessional & @willowacademy_lj • Prep
@the_gelbottle_inc • Cantral Perk & Mimosa 
@nails_luxeofficial • Brushes 
@nafprofessionals • Cuticles

Inspo @silkbeauty.uk 

#navyprotools #thegelbottle #thegelbottleinc #thegelbottlebiab #summernails #holidaynails #fruitynails #brightnails #greennails #summer2025 #nailinspo2025 #summernaildesigns #2025nails #asos #very #plt #showscrach #nailitdaily #mymarks #shortnailsdesign #squarenails",951,navyprotools,thegelbottle,thegelbottleinc,thegelbottlebiab,summernails,holidaynails,fruitynails,brightnails,greennails,summer2025,nailinspo2025,summernaildesigns,2025nails,asos,very,plt,showscrach,nailitdaily,mymarks,shortnailsdesign,squarenails,,,,,,,,,,228033999,officialnavyprofessional,willowacademy_lj,the_gelbottle_inc,nails_luxeofficial,nafprofessionals,silkbeauty.uk,28,Lindsey Clark,https://www.instagram.com/p/DJ2K-4esFd7/,https://www.instagram.com/explore/tags/MyMarks,lindseysbeautylounge1
"⭐ Scoop it, load it, love it  

 Top of the Chocs: a chocolate lover’s dream, blending dark chocolate ice cream with chocolate coated biscuit bits and decadent chocolate truffles.
 Movie Night Popcorn Flavour: a cinematic treat, with rich caramel swirls and crunchy chocolate coated pretzel pieces.
 Nut your Average: a sumptuous hazelnut and milk chocolate ice cream, speckled with whole praline hazelnuts.

Find our Fully Loaded #icecream tubs in your local M&S Foodhall or via the link in bio NOW! 

#MandSCy #Symeonides #thisisnotjust",4,icecream,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJ8eLFbCQa4/,https://www.instagram.com/explore/tags/thisisnotjust,marksandspencer_symeonides
"Quality you trust, style you love. This is M&S.”

#MyMandS
#MandSStyle
#MarksandSpencer
#MandSHome (if styled for gifting or décor)
#MandSStationery
#ThisIsNotJust",1,MyMandS,MandSStyle,MarksandSpencer,MandSHome,MandSStationery,ThisIsNotJust,,,,,,,,,,,,,,,,,,,,,,,,,326995278,,,,,,,0,zahra,https://www.instagram.com/p/DJ58dNSz6MP/,https://www.instagram.com/explore/tags/thisisnotjust,zahra_shopian
"⭐ New in the M&S Foodhall

Our shelves in the #biscuit aisle are stacked... and your cravings are about to be satisfied! All, baked for a satisfyingly crunchy texture and perfect for dunking in your cuppa. ☕

Come find your new fave in your local M&S Foodhall or via the link in bio. 

#MandSCy #Symeonides #thisisnotjust",8,biscuit,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJ395S-Ri_Q/,https://www.instagram.com/explore/tags/thisisnotjust,marksandspencer_symeonides
"Je jedno jestli ovocný, bylinný, černý, zelený nebo kořeněný. Čaj u nás milujeme v jakékoli podobě. 

Dnes je skvělá příležitost dopřát si svůj oblíbený šálek. Tento hřejivý nápoj má totiž dnes svůj svátek – slaví se totiž Mezinárodní den čaje!  Tak na zdraví. 

#marksandspenerczechrepublic #marksandspencerceskarepublika #mezinarodnidencaje #fairtrade #fairtradecaj #thisisnotjust #marksandspencerpotraviny",18,marksandspenerczechrepublic,marksandspencerceskarepublika,mezinarodnidencaje,fairtrade,fairtradecaj,thisisnotjust,marksandspencerpotraviny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M&S Czech Republic,https://www.instagram.com/p/DJ3qAqNgZwV/,https://www.instagram.com/explore/tags/thisisnotjust,marksandspencerczechrepublic
